实施方案公告日期,分红类型,送股比例,转增比例,派息比例,股权登记日,除权日,派息日,股份到账日,实施方案分红说明,报告时间
2017-05-27,年度分红,,4.0,3.0,2017-06-05,2017-06-06,2017-06-06,,10转增4股派3元(含税),2016年报
2018-06-26,年度分红,,4.0,3.0,2018-07-03,2018-07-04,2018-07-04,,10转增4股派3元(含税),2017年报
2019-06-26,年度分红,,,2.5,2019-07-03,2019-07-04,2019-07-04,,10派2.5元(含税),2018年报
2020-07-01,年度分红,,,3.5,2020-07-08,2020-07-09,2020-07-09,,10派3.5元(含税),2019年报
2021-06-18,年度分红,,,3.5,2021-06-24,2021-06-25,2021-06-25,,10派3.5元(含税),2020年报
2022-07-06,年度分红,,,3.5,2022-07-12,2022-07-13,2022-07-13,,10派3.5元(含税),2021年报
2023-07-06,年度分红,,,4.0,2023-07-12,2023-07-13,2023-07-13,,10派4元(含税),2022年报
2024-07-05,年度分红,,,5.2,2024-07-10,2024-07-11,2024-07-11,,10派5.2元(含税),2023年报
2024-10-31,中期分红,,,3.7,2024-11-05,2024-11-06,2024-11-06,,10派3.7元(含税),2024半年报
2025-07-15,年度分红,,,2.8,2025-07-18,2025-07-21,2025-07-21,,10派2.8元(含税),2024年报
2025-11-12,中期分红,,,3.8,2025-11-17,2025-11-18,2025-11-18,,10派3.8元(含税),2025半年报
2026-06-09,年度分红,,,2.8,2026-06-12,2026-06-15,2026-06-15,,10派2.8元(含税),2025年报
