date,open,close,high,low,amount
2019-12-10,5.6,5.61,5.65,5.53,16194729.12
2019-12-11,5.58,5.63,5.64,5.55,4633862.64
2019-12-12,5.6,5.6,5.61,5.56,2247118.48
2019-12-13,5.61,5.59,5.61,5.58,1570367.24
2019-12-16,5.59,5.58,5.59,5.56,1438749.9
2019-12-17,5.58,5.85,6.14,5.56,4561198.5
2019-12-18,5.78,5.72,5.84,5.71,2200642.05
2019-12-19,5.73,5.74,5.83,5.7,1410280.76
2019-12-20,5.75,5.75,5.84,5.72,1762430.52
2019-12-23,5.76,5.82,5.88,5.74,1709986.38
2019-12-24,5.83,5.8,5.83,5.74,1311897.34
2019-12-25,5.78,5.69,5.8,5.68,1568358.2
2019-12-26,5.68,5.69,5.69,5.63,1185756.93
2019-12-27,5.68,5.74,5.76,5.67,1309059.32
2019-12-30,5.71,5.81,5.91,5.66,1789527.54
2019-12-31,5.8,5.86,5.88,5.79,1224430.8
2020-01-02,5.9,5.93,6.02,5.9,1518237.98
2020-01-03,5.93,5.98,6.01,5.85,1364281.36
2020-01-06,5.94,5.91,5.97,5.87,884076.94
2020-01-07,5.89,5.92,5.94,5.88,534210.82
2020-01-08,5.88,5.85,5.89,5.81,921083.45
2020-01-09,5.85,5.87,5.88,5.8,616591.92
2020-01-10,5.85,5.9,5.92,5.82,694748.44
2020-01-13,5.87,5.79,5.88,5.76,1734636.56
2020-01-14,5.79,5.76,5.79,5.75,1074266.82
2020-01-15,5.75,5.7,5.76,5.7,666909.64
2020-01-16,5.72,5.64,5.73,5.64,819470.17
2020-01-17,5.66,5.67,5.71,5.66,570035.97
2020-01-20,5.68,5.72,5.73,5.68,515144.68
2020-01-21,5.71,5.66,5.73,5.66,435683.45
2020-01-22,5.65,5.71,5.73,5.6,673945.0
2020-01-23,5.68,5.67,5.69,5.57,648748.34
2020-02-03,5.38,5.5,5.56,5.21,1769614.51
2020-02-04,5.42,5.54,5.55,5.42,969110.67
2020-02-05,5.51,5.5,5.54,5.46,855266.03
2020-02-06,5.51,5.52,5.52,5.47,758456.43
2020-02-07,5.5,5.5,5.5,5.45,841064.42
2020-02-10,5.47,5.51,5.51,5.44,862795.16
2020-02-11,5.49,5.51,5.53,5.47,451187.58
2020-02-12,5.49,5.5,5.5,5.46,349541.4
2020-02-13,5.5,5.5,5.51,5.46,476363.04
2020-02-14,5.48,5.5,5.5,5.47,324974.5
2020-02-17,5.49,5.56,5.56,5.48,721277.54
2020-02-18,5.54,5.52,5.54,5.49,597866.03
2020-02-19,5.5,5.5,5.52,5.49,384438.22
2020-02-20,5.5,5.56,5.58,5.48,923256.44
2020-02-21,5.53,5.52,5.56,5.51,676597.4
2020-02-24,5.5,5.5,5.52,5.49,549826.52
2020-02-25,5.48,5.5,5.5,5.46,817348.52
2020-02-26,5.48,5.52,5.57,5.48,724116.42
2020-02-27,5.51,5.52,5.55,5.49,534604.59
2020-02-28,5.49,5.5,5.52,5.47,605960.71
2020-03-02,5.49,5.53,5.53,5.48,636619.48
2020-03-03,5.53,5.52,5.56,5.5,622272.8
2020-03-04,5.5,5.5,5.51,5.48,444542.21
2020-03-05,5.5,5.62,5.7,5.5,1600005.95
2020-03-06,5.56,5.51,5.56,5.5,686978.9
2020-03-09,5.48,5.49,5.5,5.47,669293.67
2020-03-10,5.46,5.5,5.5,5.42,552810.95
2020-03-11,5.49,5.51,5.51,5.47,405264.22
2020-03-12,5.5,5.51,5.54,5.48,396899.35
2020-03-13,5.45,5.55,5.55,5.37,989407.27
2020-03-16,5.52,5.44,5.52,5.43,660944.22
2020-03-17,5.42,5.37,5.46,5.35,430857.2
2020-03-18,5.38,5.3,5.4,5.3,306722.37
2020-03-19,5.26,5.23,5.28,5.17,408256.51
2020-03-20,5.23,5.26,5.26,5.21,232258.42
2020-03-23,5.15,5.08,5.18,5.08,307553.12
2020-03-24,5.13,5.14,5.16,5.05,337141.43
2020-03-25,5.21,5.17,5.26,5.13,564048.76
2020-03-26,5.17,5.28,5.35,5.15,648458.55
2020-03-27,5.3,5.3,5.35,5.24,409418.72
2020-03-30,5.25,5.26,5.27,5.18,293341.89
2020-03-31,5.26,5.27,5.29,5.22,158235.51
2020-04-01,5.26,5.26,5.27,5.22,149103.14
2020-04-02,5.23,5.27,5.27,5.21,199794.18
2020-04-03,5.25,5.26,5.27,5.23,112720.65
2020-04-07,5.29,5.29,5.3,5.27,194740.5
2020-04-08,5.28,5.27,5.29,5.25,121215.42
2020-04-09,5.28,5.26,5.29,5.22,209370.71
2020-04-10,5.26,5.24,5.26,5.23,147998.46
2020-04-13,5.23,5.24,5.25,5.2,180450.77
2020-04-14,5.23,5.26,5.26,5.22,150745.46
2020-04-15,5.28,5.25,5.28,5.23,113636.83
2020-04-16,5.24,5.24,5.25,5.2,269079.35
2020-04-17,5.24,5.26,5.26,5.21,296613.26
2020-04-20,5.25,5.23,5.25,5.21,160135.88
2020-04-21,5.2,5.19,5.23,5.18,129242.96
2020-04-22,5.18,5.15,5.18,5.14,182079.89
2020-04-23,5.16,5.1,5.16,5.1,178544.57
2020-04-24,5.1,5.06,5.1,5.05,223643.86
2020-04-27,5.07,5.07,5.13,5.06,290516.36
2020-04-28,5.06,5.02,5.07,4.94,271694.84
2020-04-29,5.02,5.13,5.13,5.02,378863.0
2020-04-30,5.15,5.22,5.23,5.14,407503.9
2020-05-06,5.16,5.16,5.17,5.11,460246.93
2020-05-07,5.14,5.15,5.15,5.12,222132.04
2020-05-08,5.14,5.17,5.18,5.14,206024.61
2020-05-11,5.17,5.18,5.19,5.15,226008.55
2020-05-12,5.18,5.16,5.22,5.15,201285.0
2020-05-13,5.15,5.15,5.16,5.11,287739.69
2020-05-14,5.14,5.1,5.14,5.06,397901.61
2020-05-15,5.08,5.08,5.09,5.04,328174.53
2020-05-18,5.08,5.07,5.08,5.03,285676.15
2020-05-19,5.07,5.1,5.1,5.06,191667.39
2020-05-20,5.09,5.1,5.11,5.07,144925.28
2020-05-21,5.09,5.11,5.11,5.07,193839.68
2020-05-22,5.1,5.08,5.1,5.05,199816.45
2020-05-25,5.07,5.09,5.09,5.04,206544.26
2020-05-26,5.09,5.09,5.11,5.07,185722.82
2020-05-27,5.09,5.08,5.09,5.04,238410.08
2020-05-28,5.08,5.1,5.11,5.05,386242.37
2020-05-29,5.07,5.08,5.09,5.04,379782.82
2020-06-01,5.09,5.1,5.11,5.08,507299.22
2020-06-02,5.09,5.1,5.1,5.07,349830.74
2020-06-03,5.1,5.14,5.15,5.09,457866.21
2020-06-04,5.15,5.14,5.16,5.1,356759.86
2020-06-05,5.12,5.15,5.15,5.11,205516.68
2020-06-08,5.15,5.22,5.22,5.14,512712.85
2020-06-09,5.22,5.22,5.27,5.19,407397.47
2020-06-10,4.88,4.85,4.89,4.71,4120246.53
2020-06-11,4.77,4.76,4.82,4.74,1662353.85
2020-06-12,4.73,4.7,4.75,4.7,1740415.37
2020-06-15,4.7,4.66,4.7,4.63,1162820.08
2020-06-16,4.67,4.68,4.68,4.65,664962.98
2020-06-17,4.66,4.64,4.67,4.6,714436.47
2020-06-18,4.62,4.62,4.63,4.58,840955.89
