rank,code,name,listing_date,price,dividend_yield,annual_dividend_yield,dividend_yield_percentile,profit_growth,profit_period,annual_dividend,ttm_dividend,uses_ttm_dividend,dividend_basis,dividend_report_year,interim_dividend,dividend_dps_used,annual_eps,dividend_payout_ratio,updated_at,error
1,601128,常熟银行,2016-09-30,6.24,0.04807692307692307,0.04326923076923077,1.0,0.1110241734799422,20260331,0.27,,False,中期*2,2025,0.15,0.3,1.27,0.23622047244094488,2026-08-24 00:49:41,
2,002807,江阴银行,2016-09-02,4.01,0.054862842892768084,0.054862842892768084,0.9599659284497445,0.023399665482656484,20260630,0.22,,False,年度,2025,,0.22,0.8326,0.2642325246216671,2026-08-24 00:50:05,
3,601860,紫金银行,2019-01-03,2.52,0.03968253968253969,0.03968253968253969,0.9378194207836457,0.016181881982511692,20260331,0.1,0.1,True,TTM,2025,0.05,0.1,0.34,0.29411764705882354,2026-08-24 00:49:56,
4,603323,苏农银行,2016-11-29,4.19,0.04295942720763723,0.05011933174224343,0.9352640545144804,0.05051368500503561,20260331,0.21,,False,中期*2,2025,0.09,0.18,1.01,0.1782178217821782,2026-08-24 00:50:17,
5,601818,光大银行,2010-08-18,3.02,0.06291390728476821,0.034768211920529805,0.889267461669506,-0.08063222079589216,20260331,0.10500000000000001,0.19,True,TTM,2025,0.10500000000000001,0.19,0.58,0.32758620689655177,2026-08-24 00:49:18,
6,002936,郑州银行,2018-09-19,1.75,0.011428571428571429,0.011428571428571429,0.8842975206611571,0.05367022748330785,20260331,0.02,,False,年度,2024,,0.02,0.15,0.13333333333333333,2026-08-24 00:50:08,
7,002958,青农商行,2019-03-26,2.91,0.041237113402061855,0.041237113402061855,0.7682403433476395,0.05603178700338107,20260331,0.12,,False,年度,2025,,0.12,0.52,0.23076923076923075,2026-08-24 00:50:14,
8,600908,无锡银行,2016-09-23,5.38,0.04089219330855019,0.0446096654275093,0.7061328790459966,0.0273371790492134,20260331,0.24000000000000002,,False,中期*2,2025,0.11000000000000001,0.22000000000000003,1.01,0.21782178217821785,2026-08-24 00:49:31,
9,601166,兴业银行,2007-02-05,18.1,0.062430939226519336,0.05889502762430939,0.666098807495741,0.001512859304084735,20260331,1.066,,False,中期*2,2025,0.5650000000000001,1.1300000000000001,3.46,0.3265895953757226,2026-08-24 00:49:07,
10,601997,贵阳银行,2016-08-16,5.73,0.05235602094240837,0.05235602094240837,0.6422487223168655,0.023705915251664766,20260331,0.3,,False,年度,2025,,0.3,1.37,0.218978102189781,2026-08-24 00:50:03,
11,002142,宁波银行,2007-07-19,34.06,0.017615971814445096,0.008807985907222548,0.5693493150684932,0.12117519631735707,20260630,0.3,,False,中期*2,2025,0.3,0.6,4.29,0.13986013986013984,2026-08-24 00:49:29,
12,600000,浦发银行,1999-11-10,9.05,0.045303867403314914,0.045303867403314914,0.5647348951911221,0.014944880100011382,20260331,0.41,,False,年度,2024,,0.41,1.36,0.3014705882352941,2026-08-24 00:48:50,
13,600036,招商银行,2002-04-09,38.9,0.052082262210796926,0.05182519280205656,0.5545144804088586,0.015179960306817675,20260331,2.016,,False,中期*2,2025,1.0130000000000001,2.0260000000000002,5.7,0.3554385964912281,2026-08-24 00:49:00,
14,600016,民生银行,2000-12-19,3.47,0.05446685878962536,0.05446685878962536,0.540885860306644,-0.09637419557369331,20260331,0.189,0.189,True,TTM,2025,0.136,0.189,0.63,0.3,2026-08-24 00:48:57,
15,600928,西安银行,2019-03-01,3.54,0.02824858757062147,0.02824858757062147,0.520442930153322,0.06161998783695899,20260331,0.1,,False,年度,2025,,0.1,0.6,0.16666666666666669,2026-08-24 00:49:37,
16,000001,平安银行,1991-04-03,11.41,0.05223488168273444,0.05223488168273444,0.5008517887563884,0.03321270607157212,20260630,0.596,0.596,True,TTM,2025,0.236,0.596,2.07,0.28792270531400965,2026-08-24 00:48:45,
17,002839,张家港行,2017-01-24,4.33,0.046189376443418015,0.050808314087759814,0.46337308347529815,0.02504051048614664,20260331,0.22,,False,中期*2,2025,0.1,0.2,0.77,0.25974025974025977,2026-08-24 00:50:07,
18,600015,华夏银行,2003-09-12,6.71,0.06035767511177348,0.01490312965722802,0.39948892674616693,-0.015010863124629625,20260331,0.1,0.405,True,TTM,2025,0.1,0.405,1.62,0.25,2026-08-24 00:48:55,
19,600926,杭州银行,2016-10-27,16.63,0.039687312086590494,0.039687312086590494,0.3475298126064736,0.10094037337577944,20260331,0.6599999999999999,0.6599999999999999,True,TTM,2025,0.38,0.6599999999999999,2.66,0.24812030075187966,2026-08-24 00:49:35,
20,601577,长沙银行,2018-09-26,9.52,0.04201680672268908,0.02100840336134454,0.338160136286201,0.05774935978997897,20260331,0.2,,False,中期*2,2025,0.2,0.4,1.93,0.2072538860103627,2026-08-24 00:49:49,
21,601169,北京银行,2007-09-19,5.09,0.05461689587426326,0.05461689587426326,0.3228279386712095,0.055526590198123005,20260331,0.27799999999999997,,False,年度,2025,,0.27799999999999997,0.78,0.35641025641025637,2026-08-24 00:49:09,
22,601916,浙商银行,2019-11-26,2.92,0.04486301369863014,0.04486301369863014,0.2770083102493075,0.007228105563960252,20260331,0.131,,False,年度,2025,,0.131,0.44,0.29772727272727273,2026-08-24 00:49:58,
23,601658,邮储银行,2019-12-10,4.98,0.04383534136546184,0.04383534136546184,0.20954003407155025,0.01901291293670293,20260331,0.2183,0.2183,True,TTM,2025,0.123,0.2183,0.73,0.29904109589041095,2026-08-24 00:49:51,
24,601328,交通银行,2007-05-15,7.12,0.04560393258426966,0.04560393258426966,0.18654173764906304,0.031136686110673217,20260331,0.3247,0.3247,True,TTM,2025,0.1563,0.3247,1.08,0.3006481481481481,2026-08-24 00:49:13,
25,601229,上海银行,2016-11-16,9.74,0.053388090349075976,0.053388090349075976,0.1686541737649063,0.006604672141608203,20260331,0.52,0.52,True,TTM,2025,0.3,0.52,1.65,0.3151515151515152,2026-08-24 00:49:47,
26,601838,成都银行,2018-01-31,18.65,0.0493833780160858,0.0493833780160858,0.15928449744463374,0.04808494899195792,20260331,0.921,,False,年度,2025,,0.921,3.07,0.30000000000000004,2026-08-24 00:49:53,
27,601077,渝农商行,2019-10-29,6.81,0.04712334801762114,0.04712334801762114,0.13884156729131175,0.050719269610471684,20260331,0.32091,0.32091,True,TTM,2025,0.20335999999999999,0.32091,1.05,0.3056285714285714,2026-08-24 00:49:39,
28,601288,农业银行,2010-07-15,6.78,0.036799410029498526,0.036799410029498526,0.1252129471890971,0.04523779733355582,20260331,0.2495,0.2495,True,TTM,2025,0.11950000000000001,0.2495,0.78,0.31987179487179485,2026-08-24 00:49:11,
29,002966,苏州银行,2019-08-02,8.58,0.04195804195804195,0.04195804195804195,0.11499148211243612,0.0822713142417053,20260331,0.36,0.36,True,TTM,2025,0.21000000000000002,0.36,1.14,0.31578947368421056,2026-08-24 00:50:16,
30,601963,重庆银行,2021-02-05,11.09,0.040405770964833186,0.040405770964833186,0.07666098807495741,0.10285646384405345,20260630,0.4481,,False,年度,2025,,0.4481,1.53,0.29287581699346404,2026-08-24 00:50:01,
31,601187,厦门银行,2020-10-27,7.23,0.03457814661134163,0.03457814661134163,0.06899488926746167,0.07420087964045985,20260331,0.25,0.25,True,TTM,2025,0.13999999999999999,0.25,0.9,0.2777777777777778,2026-08-24 00:49:43,
32,601998,中信银行,2007-04-27,8.39,0.04541120381406436,0.04541120381406436,0.06388415672913117,0.03019119380798596,20260331,0.381,0.381,True,TTM,2025,0.188,0.381,1.2,0.3175,2026-08-24 00:49:27,
33,601398,工商银行,2006-10-27,7.77,0.03993564993564994,0.03993564993564994,0.059625212947189095,0.03309330291363666,20260331,0.3103,0.3103,True,TTM,2025,0.1414,0.3103,1.0,0.3103,2026-08-24 00:49:15,
34,601009,南京银行,2007-07-19,11.78,0.04491935483870968,0.04491935483870968,0.05792163543441227,0.0816995351929577,20260630,0.52915,0.52915,True,TTM,2025,0.30619999999999997,0.52915,1.76,0.3006534090909091,2026-08-24 00:49:03,
35,600919,江苏银行,2016-08-02,11.94,0.04724455611390285,0.04724455611390285,0.016183986371379896,0.08089489422094842,20260630,0.5641,0.5641,True,TTM,2025,0.3309,0.5641,1.76,0.3205113636363637,2026-08-24 00:49:33,
36,601988,中国银行,2006-07-05,6.05,0.03740495867768595,0.03740495867768595,0.010221465076660987,0.04170038996394676,20260331,0.2263,0.2263,True,TTM,2025,0.10940000000000001,0.2263,0.74,0.3058108108108108,2026-08-24 00:49:22,
37,002948,青岛银行,2019-01-16,5.95,0.03025210084033613,0.03025210084033613,0.0025684931506849314,0.21155781370970184,20260331,0.18,,False,年度,2025,,0.18,0.85,0.21176470588235294,2026-08-24 00:50:12,
38,601939,建设银行,2007-09-25,10.53,0.03691358024691359,0.03691358024691359,0.0008517887563884157,0.035272522225288316,20260331,0.38870000000000005,0.38870000000000005,True,TTM,2025,0.18580000000000002,0.38870000000000005,1.3,0.29900000000000004,2026-08-24 00:49:20,
